id,title,description,url,rating,total_reviews
10,CARET Legal,"CARET Legal, previously known as Zola Suite, is the leading solution for legal professionals to manage their practice and create space for what matters, including delighting clients and maximizing billable time.    From client intake, to matter management, to back-office reporting, CARET Legal helps you save time, increase team collaboration, increase accuracy, scale your business, and collect revenue faster than ever before.   Firms using CARET Legal report they recoup their investment 31% faster than firms that rely on other practice management platforms. ",https://www.softwareadvice.com/legal/zola-suite-profile,4.56,124.0
11,Access Legal,"Access legal is a cloud-based case management software that assists legal practices by saving them important time with their day to days tasks and increase their accuracy and performance across their firms.  Regardless of how big the legal team are, the secure and scalable case management software will help aid fee earners to have quick access to the information they need in an efficient manner. This will free up their time to provide a better client service.   The software offers a large amount of pre-built and customizable workflows coupled with over 100 integrations (such as HRMC, Docusign, Smartsearch and Credas). It also allows for users to log in safely from any device and at any time. the software is ISO27001 and Cyber Essentials accredited, and GDPR compliant to ensure maximum security of case management files.  Key advantages of the case management solution include being able to open matters quickly, by the simple use of a using and importing a new client form. Without the need for double entries, users will increase their data accuracy and cut down on the time taken speeding up the process.  By digitizing processes and using a fully electronic system, users will also save time and money by not only getting rid of the need for printing files but also all their documents will be quickly accessible, shareable and editable.  This brings the additional benefit of users and clients being able to electronically sign documents all via a secure and bespoke client portal.   Another major benefit would be that accounting and financial tasks would be streamlined within the user's new available tools as all the different functionalities are integrated and in sync with each other. This allows for cost budgeting and drafting to be concise as each allocated part of the budget gets different color coding and ongoing alerts. The cost drafting software can be integrated into the case management software meaning everything from bill creation to creating a red line bill will be more streamlined and efficient.   Reporting can be scheduled to specific times and dates, and even emailed to a pre-defined list of email contacts of the user's choosing.    Access Legal software suite offers a holistic and end to end solution for firms. A truly scalable and end to end solution, meaning no more migrations needed. ",https://www.softwareadvice.com/legal/access-legal-profile,2.83,6.0
12,Rolling Legal,"Rolling Legal is a cloud platform, which helps lawyers monitor business anywhere and on any device with visualization of all past and future activities, from e-mails, meetings and calls, as well as access to all strategic information, management reports and dashboards that help make more informed decisions. Lawyers can manage cases comprehensively through immediate access to all relevant information such as case contacts, practice area, case status, expenses, payments, down payments, fee notes, associated cases, and notes.   Users can control budgets, with a quick look at the total cost of cases, paid and unpaid amounts, billable and uncollectible expenses and tasks. It also helps analyze the team's productivity, by controlling the time spent on each task and case and reduce the time spent on administrative tasks by automating processes with personalized email alerts.   Professional can work more efficiently as a team, with controlled sharing of specific cases with other users, the possibility of viewing their calendars, the assignment and control of their tasks in addition to the internal chat, which promotes mutual help between employees, stimulating direct and instantaneous communication.  Rolling Legal is also a powerful help in the financial management of cases as it allows users to create expenses from a case or an account and divide the amounts of an expense by several cases. This way, in a few clicks, users can easily generate fee notes and send them by e-mail when creating them, avoiding the use of paper.  With this solution, lawyers can control financial movements, through a detailed view of all payments and advances. Rolling Legal can be integrated with third-party applications such as Office 365 or Gmail.",https://www.softwareadvice.com/legal/rolling-legal-profile,4.33,3.0
13,Bigle Legal,"Bigle Legal is the next-generation end-to-end Contract Lifecycle Management (CLM) platform. Our mission is to transform the way in-house legal, procurement, HR, sales, and most of the teams at any corporation, and law firms, create and manage documents.  Our secure cloud-based platform automates your complex documents and allows you to create new contracts in under 5 minutes.  It is time to say goodbye to repetitive tasks and refocus your efforts on high-value customer-centric work.",https://www.softwareadvice.com/cms/bigle-legal-profile,4.72,25.0
14,Alt Legal,"Alt Legal is a cloud-based automated trademark docketing software that offers an integrated solution for managing intellectual property (IP) matters. With the ability to connect to over 180 Intellectual Property offices, Alt Legal streamlines the trademark docketing process and supports other IP matters, such as patents.  Users can automate updating and adding IP matters and deadlines, generate reports, receive personalized alerts connect calendars, and more from a unified platform.",https://www.softwareadvice.com/docketing/alt-legal-profile,4.91,35.0
15,Legal Monster,"Legal Monster is a consent and privacy management solution, which helps businesses maintain compliance with ePrivacy, marketing requirements and General Data Protection Regulation (GDPR). The platform creates an audit trail of received permissions or data points and lets administrators manage confidential information shared with third-party vendors or services.      Using Legal Monster, organizations can embed and update legal documents and notify clients about revisions via email. Supervisors can manage multiple projects based on country, language, area or product and create white-labeled cookie pop-ups to collect customers' consent. Additionally, the tool automatically categorizes cookies from several platforms including LinkedIn and Facebook.      Legal Monster integrates with various third-party systems such as Cognito Forms, Hubspot, Klaviyo and more. The product is available for free or on monthly subscriptions and support is extended via phone, email, documentation and FAQs.    ",https://www.softwareadvice.com/risk-management/legal-monster-profile,4.85,40.0
16,Legality Whistleblowing,"Legality Whistleblowing is a wrongdoing reporting management system that is fully compliant with national and international regulations, such as the Whistleblower Protection Directive (2019/1937), GDPR, and other privacy laws.  The platform is available to both government organizations and corporations. The software ensures the confidentiality and anonymity of the whistleblower and guarantees maximum security, thanks to: - Voice reporting without a telephone hotline - avoiding non-compliant solutions from both a security and regulatory perspective - Encryption system for both data transmission and storage - Vulnerability assessment & penetration testing by external IT security experts, performed regularly or on demand. - Certified and secure infrastructure, thanks to the ISO/IEC 27001:2017 certification obtained with the highest rating (Tier IV). Technical and legislative updates are always included in the fee. Legality Whistleblowing includes a wide range of useful features to manage any whistleblowing case in a compliant and secure manner. Single sign-on, multi-company mode, and platform customization are available on demand. No internal IT resources are required as Legality Whistleblowing is delivered in SaaS mode. ",https://www.softwareadvice.com/whistleblowing/legality-whistleblowing-profile,4.38,8.0
17,Legal Analytics,Legal Analytics is a German language contract analytics solution that enables businesses to extract specific information and detect critical issues in contracts and invoices using artificial intelligence technology.,https://www.softwareadvice.com/artificial-intelligence/legal-analytics-profile,,
18,ZyLAB Legal Hold,"ZyLAB Legal Hold gives users end-to-end management of the legal hold process in a defensible, consistent, and reportable manner. Manage and automate communication with a large number of custodians in your cases. Template your messaging (emails) and questionnaires and automatically send reminders if custodians are not responding. Additionally, manage analytics and produce defensible data reports supporting decisions made as part of the legal hold process.",https://www.softwareadvice.com/legal/zylab-legal-hold-profile,,
19,US Legal Forms,"Stop paying for attorney services. Get legal forms, agreements, contracts, and templates to start and grow your business. No software or installations needed — just fill out, edit, eSign and reuse documents from one website. There is a legal form for any use case and the platform can be used for SMB's, Individuals, attorneys and lawyers. ",https://www.softwareadvice.com/legal/us-legal-forms-profile,4.0,11.0
20,Westlaw Legal Calendaring,"Westlaw Legal Calendaring gives lawyers, business professionals, and their teams a single platform for legal research, collaboration, and task management. The application combines document automation and workflow technology with data insights to help manage documents, evidence and information from a single user interface",https://www.softwareadvice.com/legal/westlaw-legal-calendaring-profile,,
21,Easy Legal Billing,"Easy Legal Billing is a cloud-based solution that allows lawyers and law firms to manage their billable hours, invoicing and billing, legal documents and client communication. The software is compatible with legal electronic data exchange standard (LEDES) billing and can be used by any size law firm—from a solo practitioner to a large international firm.  Easy Legal Billing allows lawyers to track time spent on cases and then generate invoices for clients based on those hours. In addition to its billing capabilities, the software includes an integrated email client so users can send invoices directly from within the application. Pricing is based on monthly or annual subscriptions and support is extended via FAQs, email, knowledge base and more.",https://www.softwareadvice.com/legal/easy-legal-billing-profile,,
22,Legal Suit Management System,"Legal Suit Management System is a cloud-based legal practice management software suitable for all type of law firms, legal practitioners and in-house legal departments. The practice management solution offers various features like case management, case notes, milestones, activity tracking, time and expense monitoring, finance and documents management, task management, reminders, and more.      Legal Suit Management System offers various office management solutions such as human resources, internal chat and helpdesk support system. Users can manage client information, related contacts within the client, create contracts and send expiry reminders. Additionally, administrators can organize and create offer letters, estimates, invoices and case expenses, time spent on cases and billing.      The built-in client portal allows users to access details about clients' case, time and expense tracking. The system facilitates integration with payment gateways, SMS gateway and email providers, which lets professionals receive emails within the portal and support multiple languages.    ",https://www.softwareadvice.com/legal/legal-suit-management-system-profile,,
23,gutwin Legal Compliance Software,"Gutwin Legal Compliance Software is a solution that is designed to help companies across environmental, energy and occupational industries ensure compliance with safety laws. This software helps companies meet the legal requirements that are imposed on them.   The application makes it easy for companies to create and update their legal registers. It also allows them to delegate their legal obligations from the legal regulations to maintain compliance with all the necessary laws and regulations. The software ensures regulatory compliance by giving full supervisory obligation in accordance with the laws of the Administrative Court.",https://www.softwareadvice.com/ehs/gutwin-legal-compliance-software-profile,,
24,Legal Management System,"SurePoint® Technologies is a leading provider of financial and practice management software to law firms nationwide. For more than 40 years, law firms have relied on SurePoint’s award-winning enterprise software to drastically improve workflow and maximize financial performance. With a community of more than 50,000 members, SurePoint continues to transform the legal industry by enabling law firms to unlock higher performance by freeing lawyers of administrative burdens so they can spend far more time focusing on their clients and their practice. Learn more at https://surepoint.com.",https://www.softwareadvice.com/legal/surepoint-lms-profile,4.57,7.0
25,Easysoft Legal Software,"Easysoft Legal Software is a cloud-based solution, which helps law firms across real estate and family law practices perform real estate calculations, maintain compliance and handle risks. Features include historical expenditures, client portal, financial calculators and assets and liabilities distribution.    With the closing disclosure and HUD forms, professionals can calculate tax prorations, automatic payoffs and disbursements. It also helps process projected payments, lets users conduct title searches and complete 1099-S reports.  Easysoft Legal Software offers integration with the third-party platform QuickBooks. It is available on monthly subscriptions and support is offered via email and phone. ",https://www.softwareadvice.com/legal/easy-soft-real-estate-suite-profile,,
26,Accurate Legal Billing,"Accurate Legal Billing is a cloud-based, AI-enabled platform that allows law firms to remain 100% compliant with their clients' billing guidelines. Various features of the platform include automated bill review, budget preparation, daily activity capture, chat support, multiple fee structures, etc. Law firms can use ALB to track time as well as prepare and submit invoices.      ALB Salient Features include, Daily Activity Capture, Automated Bill Review, Performance Metrics and Reports, Budget Preparation and Tracking, Invoice Conversion to Multiple Formats and Multilingual and Multicurrency Invoice Prep.      ALB provides services of implementation and integration along with consultations for developing requirements as well as performing audits to make sure that timekeepers and the firm are meeting the firm’s goals and targets.      ALB also offers eBilling recovery services. Using ALB, firms can send out GNCs for approval to the claim adjuster easily using the system.      ALB 2.0 presents Time Entry Cleansing. Using this, law firms can submit prepared invoices that are cleansed by removing non-compliances that are detected and highlighted for them and provide adequate suggestions that make them compliant.    ",https://www.softwareadvice.com/legal/accurate-legal-billing-profile,,
27,TimeSolv Legal Billing,"TimeSolv is a cloud-based legal time tracking and billing solution that caters to law firms, accountants, consultants, architects, and freelancers, helping them manage daily business operations.      TimeSolv integrates project management features such as time tracking and assigning tasks with billing functionality, allowing users to track billable hours and budget in real time. It also provides case management features and document management tools to help organize and store data. Users can utilize a document automation feature for auto-filling standard formatted documents.      It offers a suite of billing functions, including invoicing, batch billing and integration with LawPay, allowing users to pay their bill online. Users can upload images of receipts to invoice files. TimeSolv also provides reports so law managers or practitioners can track their billable hours over weeks or months.      TimeSolv offers two-way integration with QuickBooks, as well as integrations with Xero Accounting, Dropbox and NetDocuments. It offers Android and iOS apps for remote usage.      Services are offered on a monthly subscription basis that includes support via phone and email.    ",https://www.softwareadvice.com/legal/timesolv-profile,4.73,607.0
28,PracticePanther Legal Software,"PracticePanther Legal Software is a legal management solution for small to large practices specializing in areas including bankruptcy, personal injury, family, divorce, estate planning, litigation, criminal law and many more. The system is offered as a cloud-based solution and is both Mac and PC compatible. PracticePanther offers mobile apps for iOS and Android users, allowing users to access the system remotely and sync data across multiple devices.Key features include case management, contact management, document management, calendaring and docketing, time tracking, billing and invoicing, trust accounting, CRM and payment processing. The solution provides users access to task and event workflows, credit card processing, notifications and chats and client portal. The system can be integrated with calendars and email, Box, Dropbox, QuickBooks, PayPal and many more.Pricing is per user per month. Support is provided via an online forum, phone, email and chat.    ",https://www.softwareadvice.com/docketing/practicepanther-profile,4.67,489.0
29,mxHERO for Legal QuickStart,"Email drives your legal practice but protecting & managing it shouldn't be your business.  mxHERO, two-time, back-to-back (2019 & 2020) Astors Award Winner for Homeland Security, has created a QuickStart Package designed to bring legal firms a new level of security and management over their sensitive email communications.  The mxHERO Quick Start Package for Legal is low cost, effective, and won't interrupt your practice or introduce complexity. It's advanced technology that works for you, without requiring you to work for it.  mxHERO for Legal QuickStart offers you 3 core capabilities  - use all of them or just what you need:  Old emails go to your cloud storage, safe from email disasters (breaches, deletion, etc.), and easy to find when needed...  Protect your email correspondence from hackers Manage & share email safer and easier from your cloud storage Save space in your email accounts  Automatically sort email correspondence into cloud storage folders ... as they arrive!  Correspondence auto-organized in realtime Easily managed, just like a file, in your secure cloud storage  Secure your emails even when they're sitting in someone else's inbox  Protect your email attachments from breaches & email mishandling, always and without effort Auto-Expire attachment access in 30 days even after message deliver  mxHERO supports O365, Google, and on-premises email services.  mxHERO integrates with the following cloud storage services: MS OneDrive, Google Drive, Box, or Egnyte.",https://www.softwareadvice.com/marketing/mxhero-profile,,
30,Tax and Legal Notice Management System,"Tax and Legal Notice Management System focuses on easing tasks for enterprise legal professionals to handle their legal issues and notices in an effective and less-stressful manner. It automates the complex task of managing and tracking hundreds of legal notices and cases through a central storage repository, alerts, notifications and various integrations.   By integrating the legal notice management and tracking platform, organizations can benefit from our extensive features and services and streamline their entire legal lifecycle management to lessen the burden, ease the process, and increase overall productivity.",https://www.softwareadvice.com/legal/tax-and-legal-notice-management-system-profile,,
32,Zelican," Zelican is a legal management software for legal practices of all sizes.   The solution offers features such as legal notices, case statuses, legal document management, legal spend management, court matters and more.  Zelican is a complete suite of tool to manage litigations across indian courts.",https://www.softwareadvice.com/legal/zelican-profile,,
33,RazorCube,"Enterprise Legal Management · Matter & Case Management · Legal Spend & E-Billing · Contract Lifecycle Management · Legal Entity Management · Corporate Compliance Management · Legal Query Management   Why RazorCube? · Automation and digitization of the complete legal function  · Reduced manual efforts & better workload management  · 360* view of legal risks, obligations & deadlines  · Strategic management of legal operations  · Improved visibility and control of legal budget and spend  · Better decision-making with access to complete information  · Improved collaboration between business and legal  · Enforcement of standardized organizational procedures   Discover PracticeLeague, an award-winning legal technology leader that empowers the legal community with cutting-edge and intuitive legal technology solutions. PracticeLeague’s Razor platform is a carefully designed Multi AI and Blockchain-Powered technology ecosystem that meets the specific needs of corporate legal departments, enabling them to transform their operations to align with evolving business expectations.  PracticeLeague won the ""Outstanding Legal Innovator"" award by the Asia-Pacific Legal Innovation & Technology Association in 2022. Key highlights include, 100+ Success Stories; 10,000+ Users; 21+ Industry Verticals; 95% Client Retention",https://www.softwareadvice.com/legal/razorcube-profile,4.0,1.0
34,Brightflag,"Brightflag is an AI-powered enterprise legal management platform that covers all in-house legal operations. From service requests to budgeting and forecasting, Brightflag allows in-house legal teams to capture and track all legal matters and spend in one single platform. WIth AI-powered insights, Brightflag can turn descriptive text into structured data to extract new insights that were trapped in legal items. Brightflag includes matter management, spend management, service request management, invoice review, budgeting, and legal reporting/analytics. ",https://www.softwareadvice.com/legal/brightflag-profile,,
35,BillBlast,Legal eBilling software to take control of outside council guideline compliance and legal eBilling submission by simplifying and centralizing multiple client spend management platforms into one legal eBilling solution.,https://www.softwareadvice.com/legal/billblast-profile,,
36,eCounsel,"Miratech's eCounsel suite is an enterprise legal management solution that enables mid-size corporations to reduce legal spending, automate manual administrative tasks, and consolidate all legal information in one place. eCounsel ensures that legal departments can manage day-to-day processes with intuitive matter management, comprehensive spend management, powerful legal analysis center, and corporate entity management through Secretariat.",https://www.softwareadvice.com/legal/ecounsel-profile,2.0,1.0
37,SuiteCRM,"SuiteCRM Legal CRM is a cloud-based and on-premise solution. It caters to lawyers, paralegals, attorneys and support staff in a legal firm. Primary features include case management, contact management, billing and invoicing, calendaring and docketing, document management and time tracking.      The case management module allows users to track cases. Users can design workflows and send automatic email alerts. The client management module allows users to manage relationships, create account plans and proposals. The document management feature allows users to store e-documents and images, manage files and electronically scan information from paper.      The timesheet module allows users to track time spent on the case, login hours, enter tasks directly from the calendar and create bills. Customer portal provides users access to their internal system and restricted data. It provides integration with Microsoft Outlook.      SuiteCRM Legal CRM is offered in both perpetual and subscription pricing options.    ",https://www.softwareadvice.com/legal/legal-crm-profile,5.0,4.0
38,Xakia ,"Xakia is a simple and easy to use online legal matter management platform for in-house legal teams. Xakia helps busy in-house legal teams take back control and removes the pain of spreadsheets to manage workloads, deadlines, and reporting.  Features of our cloud-based legal software include: Legal Matter Management, Legal Intake & Triage, Legal Spend Management and Legal Data Analytics.  Xakia is used in-house legal teams globally - we are the only multi-lingual platform in the market, configurable in English, Japanese, Spanish, French, Danish, Dutch, and Portuguese (Brazil).",https://www.softwareadvice.com/enterprise-legal-management/xakia-profile,4.81,47.0
40,DocXtools,"Litera has been at the forefront of legal technology innovation for over 25 years, crafting legal software to amplify impact and maximize efficiency. Developed by the best legal minds in the industry, Litera's comprehensive suite of tools is both powerful and user-friendly and simplifies the way modern firms manage core legal workflows, secure collaboration, and organize firm knowledge and experience. Every day, Litera helps more than 2.3 million legal professionals focus on their craft.   DocXtools is a document repair tool designed to help businesses repair and style their documents, greatly increasing document quality and cutting review time in half. It helps legal teams meet client demands, improve collaboration, and quickly produce high-quality documents.  ",https://www.softwareadvice.com/legal/docxtools-profile,,
41,Genie AI,"Welcome to Genie AI – an open-source legal platform with the mission to empower everyone to draft legal agreements with confidence, free of charge. With 1600+ free to use market-standard templates built with fair clauses, users can reduce negotiations and legal bills up to 80%. Genie AI also provides a clause library, e-sign and project management tools, so users have access to all the tools they need to draft legal documents.  Generative AI is a powerful technology that is changing the way legal drafting is done. It increases the quality, performance and accessibility of legal contracts while reducing the time required to negotiate and maintain them as the law changes. With Genie AI, users can create custom legal documents with the help of AI insights from expert legal knowledge and a database of millions of contracts. Genie AI is the perfect place to experience the power of generative legal AI, with its sheer 'magical' quality.  The Genie AI team is made up of passionate individuals with backgrounds in machine learning, design and business who are committed to building a legal community that can open source legal knowledge and contracts while reducing the burnout of junior lawyers worldwide caused by a repetitive and inefficient workload.  Our freemium tier is likely to get your company from pre-seed to Series A without charge. Search for a partnership between Genie AI and your incubator, accelerator, co-working space or business association and you'll get triple the freemium access.  The Genie AI platform is also secure and trustworthy, with ISO27001 certification, bank-grade 256-bit encryption, access control and data sovereignty. Plus, users won’t need to share any private or sensitive data when using Genie AI.  In conclusion, Genie AI offers SME business owners the chance to access 1600+ free-to-use market-standard templates, clause library, e-sign tools and 100+ expert lawyers, all in a secure and trustworthy platform.   With Genie AI, users can create and customize legal documents with data-driven help from our software.   Expert lawyers work hand-in-hand with our database of millions of contracts to reduce the time and money required to solve all your business legal issues.   If you still have questions about a clause or a contract, start a discussion with our active community of 2500 businesses and 100+ lawyers.  Together, we can build the legal infrastructure of tomorrow.",https://www.softwareadvice.com/legal/genie-ai-profile,4.6,25.0
42,Exizent,"Exizent is a legal case management solution that enables legal firms to handle bereavement and probate operations. It helps lawyers to streamline legal and financial processes based on an individual's will and distribute their properties and assets in compliance with legal requirements.  The application allows employees to communicate with the families and executors of a deceased individual and verify documents via a unified platform. Exizent lets legal teams create bereavement cases, add information about assets and liabilities and synchronize beneficiary data in real-time. Additionally, users can capture and store information related to client’s properties, vehicles, investments and other assets in a centralized repository.  Exizent provides a host of features including data encryption, client management, reporting, archiving and more. Pricing is available on a monthly subscription and support is extended via phone, email and other online measures. ",https://www.softwareadvice.com/legal/exizent-profile,,
43,P4W,"P4W offers a dynamic, integrated legal ecosystem that provides the highest levels of functional efficiency. By combining powerful legal technology with market-leading integrations, P4W offers an automated, organized and configurable structure to meet all individual business and administrative requirements. Key features include:  - Comprehensive case, document, and claims management - Full Microsoft Office integration - Dynamic, single-source SQL database - View key information from personalized, single-case screens - Access extensive, flexible reporting and business intelligence tools - Ensure best practice with a legal accounts structure that’s fully compliant with the Solicitors Accounts Rules in England, Wales and Scotland - Build automated processes, reports,  warnings, and reminders - Manage risk and compliance obligations - Make legal aid work sustainably - Collaborate seamlessly with both colleagues and clients - Incorporate other leading legal software ",https://www.softwareadvice.com/legal/p4w-profile,,
44,LawVu ,"From intake to insights – LawVu’s legal workspace is your everyday ‘go-to’ for all your in-house legal work, no matter how large or small.  Within the workspace, you’ll find a unified suite of productivity and collaboration tools built specifically for in-house legal teams.   Matter management, contract management, outside counsel and billing, documents and knowledge - all managed in one cloud-based, secure and connected system. ",https://www.softwareadvice.com/legal/lawvu-profile,4.75,4.0
45,Juridoc,"Juridoc is an all-in-one SaaS solution for smarter legal documents. With Juridoc, you can automate, approve, negotiate, sign and store all of your contracts securely and save a ton of time and money.  You have finally the full control of your legal documents workflow. Juridoc helps you improve your compliance and efficiency by reducing the time to generate error-free legal document by 80%.",https://www.softwareadvice.com/legal/juridoc-profile,5.0,5.0
46,Contractzy,"The Contractzy (formerly The Legal Capsule) allows enterprises to automate the contract management process. Contractzy (formerly The Legal Capsule) provides end-to-end contract management, AI-powered data extraction capabilities, contract storage, e-stamping and e-signatures,  ",https://www.softwareadvice.com/cms/the-legal-capsule-profile,5.0,2.0
47,KeyVision,"KeyVision is a legal management software designed to answer individual lawyers, small, mid-size and big law firms or legal departments problems in managing matters, projects and business performance, using modern technology.      KeyVision is an all-you-need-in-one-place tool for day by day activities and for legal business development. A legal professional can use KeyVision to create customer profiles, define projects, negotiate fees, do timesheets, use the timer to record time spent on a task on a certain case and then let the system automatically calculate the bill and the payment to collect.       Also, a Keyvision user can add tasks in the online calendar and use the timesheet approval tool. Plus, they can access tailored detailed reports such as per lawyer, per case or per practice efficiency and profitability reports, to be used for better business decisions.      With over 10 years of experience in working with important law firms and legal professionals, KeyVision has transformed in more than just a software: the new version is a legal business platform for lawyers looking to be more efficient and profitable instead of focusing on administrative time-consuming tasks.    ",https://www.softwareadvice.com/legal/keyvision-profile,,
48,MerusCase,"MerusCase is a cloud-based legal practice management solution for small, midsize and large legal firms and businesses. It is HIPAA compliant and offers document management, time tracking, billing, calendaring and communication tools.      The document management module allows users to manage case files, auto-populates legal template, scan legal paperwork and attach them to case files. It provides the predictive searching feature. Time tracking and billing provide users accounting, time tracking, billing and invoicing and report generation features.      MerusCase allows users to integrate with Email applications and calendars. It is offered in a subscription pricing option. Support is provided via email and over the phone. Other help options include user guides, documentation, blog and knowledge base.    ",https://www.softwareadvice.com/legal/meruscase-profile,4.73,77.0
